iter	Passed	Remaining
382	778	1253
383	779	1250
384	780	1247
385	781	1243
386	782	1240
387	783	1236
388	785	1233
389	786	1229
390	787	1226
391	788	1222
392	789	1219
393	790	1216
394	791	1212
395	793	1209
396	794	1207
397	796	1204
398	797	1201
399	799	1198
400	800	1195
401	801	1192
402	802	1188
403	803	1185
404	804	1181
405	805	1178
406	807	1176
407	809	1173
408	810	1170
409	811	1167
410	812	1164
411	813	1160
412	814	1157
413	815	1154
414	817	1151
415	818	1148
416	820	1147
417	822	1144
418	823	1142
419	824	1138
420	825	1135
421	827	1132
422	828	1129
423	829	1126
424	830	1123
425	831	1120
426	832	1117
427	833	1114
428	835	1111
429	836	1108
430	837	1105
431	839	1103
432	840	1100
433	842	1098
434	843	1094
435	844	1092
436	845	1089
437	846	1086
438	848	1083
439	849	1081
440	851	1078
441	852	1076
442	853	1073
443	854	1070
444	856	1067
445	857	1065
446	858	1062
447	860	1059
448	861	1056
449	863	1054
450	864	1052
451	865	1049
452	866	1046
453	868	1043
454	869	1041
455	870	1038
456	871	1035
457	873	1033
458	874	1030
459	875	1027
460	876	1025
461	878	1022
462	879	1020
463	881	1017
464	882	1015
465	883	1012
466	884	1009
467	886	1007
468	887	1004
469	888	1002
470	889	999
471	891	997
472	892	994
473	894	992
474	895	989
475	896	987
476	897	984
477	899	982
478	900	979
479	901	976
480	902	974
481	904	971
482	905	969
483	907	967
484	908	964
485	909	962
486	911	959
487	912	956
488	913	954
489	914	952
490	915	949
491	917	947
492	918	944
493	919	942
494	921	939
495	922	937
496	923	934
497	924	932
498	926	929
499	927	927
500	928	924
501	929	922
502	931	920
503	932	917
504	933	915
505	935	912
506	936	910
507	937	908
508	938	905
509	940	903
510	941	900
511	942	898
512	944	896
513	945	893
514	946	891
515	948	889
516	949	886
517	950	884
518	951	881
519	952	879
520	953	876
521	954	874
522	955	871
523	956	868
524	957	866
525	958	863
526	959	861
527	960	858
528	961	855
529	962	853
530	963	851
531	965	849
532	966	846
533	967	844
534	968	841
535	969	839
536	970	836
537	971	834
538	972	831
539	973	828
540	974	826
541	974	823
542	975	821
543	977	819
544	979	817
545	980	814
546	981	812
547	982	810
548	982	807
549	983	805
550	984	802
551	985	800
552	986	797
553	987	795
554	988	792
555	990	790
556	991	788
557	992	786
558	993	783
559	994	781
560	995	778
561	996	776
562	997	774
563	998	771
564	999	769
565	1000	766
566	1001	764
567	1001	762
568	1002	759
569	1003	757
570	1005	755
571	1007	753
572	1008	751
573	1009	749
574	1010	747
575	1011	744
576	1013	742
577	1014	740
578	1015	738
579	1016	736
580	1017	733
581	1018	731
582	1019	729
583	1021	727
584	1022	725
585	1023	722
586	1024	720
587	1025	718
588	1026	716
589	1027	714
590	1028	711
591	1029	709
592	1030	707
593	1031	705
594	1032	702
595	1033	700
596	1034	698
597	1035	696
598	1037	694
599	1038	692
600	1040	690
601	1041	688
602	1043	686
603	1044	685
604	1046	683
605	1048	681
606	1050	680
607	1052	678
608	1054	677
609	1056	675
610	1058	673
611	1062	673
612	1064	672
613	1066	670
614	1068	668
615	1070	667
616	1071	665
617	1073	663
618	1074	661
619	1081	663
620	1083	661
621	1084	659
622	1085	657
623	1087	655
624	1088	653
625	1090	651
626	1091	649
627	1094	648
628	1096	646
629	1097	644
630	1098	642
631	1100	640
632	1101	638
633	1102	636
634	1103	634
635	1104	632
636	1105	630
637	1108	628
638	1109	626
639	1110	624
640	1111	622
641	1111	620
642	1112	617
643	1114	615
644	1115	613
645	1116	611
646	1117	609
647	1118	607
648	1119	605
649	1120	603
650	1123	602
651	1124	599
652	1125	597
653	1125	595
654	1126	593
655	1128	591
656	1129	589
657	1130	587
658	1131	585
659	1132	583
660	1133	581
661	1134	579
662	1136	577
663	1138	576
664	1139	574
665	1140	572
666	1141	570
667	1142	567
668	1143	565
669	1144	563
670	1145	561
671	1146	559
672	1147	557
673	1150	556
674	1152	554
675	1153	552
676	1154	550
677	1154	548
678	1155	546
679	1156	544
680	1158	542
681	1159	540
682	1160	538
683	1162	537
684	1165	535
685	1166	533
686	1167	531
687	1168	529
688	1169	527
689	1170	525
690	1171	523
691	1172	521
692	1173	519
693	1174	517
694	1175	515
695	1176	513
696	1177	511
697	1179	510
698	1180	508
699	1181	506
700	1182	504
701	1183	502
702	1185	500
703	1186	498
704	1187	496
705	1188	494
706	1189	492
707	1190	490
708	1191	488
709	1192	487
710	1194	485
711	1195	483
712	1196	481
713	1197	479
714	1198	477
715	1199	475
716	1200	473
717	1201	471
718	1202	469
719	1203	468
720	1204	466
721	1205	464
722	1207	462
723	1209	461
724	1211	459
725	1212	457
726	1214	455
727	1215	454
728	1216	452
729	1217	450
730	1218	448
731	1219	446
732	1221	445
733	1223	443
734	1224	441
735	1225	439
736	1226	437
737	1226	435
738	1227	433
739	1228	431
740	1229	429
741	1230	427
742	1231	426
743	1232	424
744	1233	422
745	1235	420
746	1237	419
747	1238	417
748	1239	415
749	1240	413
750	1241	411
751	1242	409
752	1243	408
753	1244	406
754	1246	404
755	1247	402
756	1248	400
757	1250	399
758	1252	397
759	1253	395
760	1254	394
761	1255	392
762	1256	390
763	1257	388
764	1258	386
765	1259	384
766	1260	382
767	1261	381
768	1263	379
769	1264	377
770	1266	376
771	1268	374
772	1269	372
773	1270	370
774	1271	369
775	1272	367
776	1273	365
777	1274	363
778	1275	361
779	1277	360
780	1278	358
781	1280	356
782	1281	355
783	1282	353
784	1283	351
785	1284	349
786	1285	347
787	1286	346
788	1287	344
789	1288	342
790	1289	340
791	1291	339
792	1293	337
793	1295	335
794	1296	334
795	1297	332
796	1298	330
797	1299	328
798	1300	327
799	1300	325
800	1302	323
801	1303	321
802	1304	320
803	1307	318
804	1308	316
805	1309	315
806	1310	313
807	1311	311
808	1312	309
809	1313	308
810	1314	306
811	1315	304
812	1316	302
813	1318	301
814	1319	299
815	1321	297
816	1322	296
817	1323	294
818	1324	292
819	1325	291
820	1326	289
821	1327	287
822	1328	285
823	1329	284
824	1330	282
825	1331	280
826	1333	278
827	1334	277
828	1336	275
829	1338	274
830	1339	272
831	1340	270
832	1341	268
833	1342	267
834	1343	265
835	1344	263
836	1345	262
837	1346	260
838	1347	258
839	1350	257
840	1351	255
841	1352	253
842	1353	252
843	1354	250
844	1355	248
845	1356	246
846	1357	245
847	1358	243
848	1359	241
849	1361	240
850	1362	238
851	1365	237
852	1366	235
853	1368	233
854	1369	232
855	1370	230
856	1371	228
857	1373	227
858	1374	225
859	1375	223
860	1376	222
861	1378	220
862	1380	219
863	1381	217
864	1383	215
865	1385	214
866	1387	212
867	1388	211
868	1389	209
869	1390	207
870	1393	206
871	1394	204
872	1396	203
873	1397	201
874	1399	199
875	1400	198
876	1402	196
877	1403	194
878	1404	193
879	1406	191
880	1409	190
881	1410	188
882	1411	187
883	1413	185
884	1415	183
885	1416	182
886	1417	180
887	1418	178
888	1420	177
889	1423	175
890	1424	174
891	1426	172
892	1428	171
893	1429	169
894	1430	167
895	1430	166
896	1432	164
897	1434	162
898	1436	161
899	1437	159
900	1440	158
901	1441	156
902	1442	155
903	1443	153
904	1444	151
905	1446	150
906	1447	148
907	1449	146
908	1451	145
909	1452	143
910	1454	142
911	1455	140
912	1456	138
913	1457	137
914	1459	135
915	1461	134
916	1463	132
917	1465	130
918	1466	129
919	1468	127
920	1469	126
921	1470	124
922	1471	122
923	1472	121
924	1474	119
925	1476	118
926	1478	116
927	1484	115
928	1486	113
929	1488	112
930	1490	110
931	1492	108
932	1494	107
933	1501	106
934	1502	104
935	1506	102
936	1511	101
937	1512	99
938	1521	98
939	1524	97
940	1526	95
941	1528	94
942	1530	92
943	1531	90
944	1533	89
945	1535	87
946	1537	86
947	1538	84
948	1540	82
949	1542	81
950	1549	79
951	1552	78
952	1554	76
953	1558	75
954	1564	73
955	1566	72
956	1567	70
957	1570	68
958	1571	67
959	1573	65
960	1575	63
961	1578	62
962	1580	60
963	1581	59
964	1583	57
965	1585	55
966	1586	54
967	1589	52
968	1591	50
969	1592	49
970	1595	47
971	1596	45
972	1597	44
973	1599	42
974	1610	41
975	1612	39
976	1614	38
977	1616	36
978	1618	34
979	1621	33
980	1626	31
981	1627	29
982	1628	28
983	1629	26
984	1630	24
985	1632	23
986	1634	21
987	1637	19
988	1639	18
989	1640	16
990	1642	14
991	1643	13
992	1645	11
993	1647	9
994	1648	8
995	1649	6
996	1649	4
997	1651	3
998	1653	1
999	1655	0
